山洪隐患点 34169
103.4708 28.1819 史洛村史洛组
104.74 28.91 粮站
99.3439 28.6158 莫木下村居民聚集点
103.0508 28.5419 尔红迁村3组
105.2908 28.3528 火箭村隐患点
99.7192 31.6683 桥梁、村庄
100.7822 31.1583 巴龙点
103.8583 29.6742 铁牛村委会
104.0433 30.3428 平安村6、7组
104.5189 29.0961 东方庙
106.0742 32.71 转南村2组
106.0831 32.6547 大竹村8组
105.7581 32.6581 菜籽坝村1组
106.3836 30.6958 灯台山村四六八组
106.8914 31.4175 顺水村一组
105.1375 30.5083 于家寨村
102.0131 31.2656 曾达村
103.2503 32.0033 比日坝
103.4769 28.4069 田坝子村小岩洞子组
105.2336 28.2836 温水溪村隐患点
103.9656 29.9119 和平村隐患点
103.8603 30.6439 柑梓段
103.4522 29.3667 罗山村委会
102.1217 31.5192 新开村
101.9572 30.0264 康定中学不稳定斜坡
106.4042 30.7061 四方坡村二三七组
104.0908 28.8189 大亭凹滑坡
104.0386 30.4922 南湖三号桥上游右岸
102.0092 32.0822 106场
102.2642 31.7853 纳足村
98.6669 31.9672 独木岭
103.735 28.4958 水纸溪村三组
99.0347 31.0514 阿央沟
99.3753 28.9019 门扎村
99.3236 28.8492 同归村
102.5478 27.3778 宋家沟泥石流
105.2642 28.3064 打鱼村隐患点
105.0556 30.1256 石湍镇毛家坟村
103.8506 29.6831 桂花村委会
103.7778 29.5422 明月村委会
103.6128 32.7356 镇江关乡
102.0872 31.3108 八角碉村
102.0608 31.5528 庆宁村
103.6039 29.8089 雷店村隐患点
105.1972 30.6819 桥头村
100.7169 31.5622 次郎村点
99.4264 29.0247 松贡村桥
104.97 28.4389 大石盘组滑坡
105.0081 28.4469 新元田组滑坡
105.0708 29.0989 社区新桥
104.1883 31.0606 金光村
99.6797 31.6833 觉日村庄
100.6686 31.3708 上街村点
100.7569 31.5864 上罗科马一村点
99.9136 25.7736 鸡街村隐患点
99.8892 25.3194 新寨村隐患点
99.9478 25.8036 金盏村隐患点
99.9339 25.78 脉地村隐患点
99.9619 25.6783 金星村隐患点
100.0139 25.6944 美翕村隐患点
99.9736 25.6914 密场村隐患点
100.0497 25.58 平坡村隐患点
99.9511 25.7303 紫阳村隐患点
99.9578 25.7114 石钟村隐患点
99.7997 25.8408 阿家村隐患点
99.7269 25.7053 白荞村隐患点
99.7767 25.6936 石竹村隐患点
99.7389 25.7125 平地村隐患点
99.8111 25.6758 箐口村隐患点
101.6839 24.4311 克田
101.2647 24.4942 鱼庄河中段
99.8497 25.6008 太平村隐患点
99.92 25.8147 安南村隐患点
103.5642 29.4564 新园村委会
102.0739 31.2656 脚姆塘村
102.0345 31.4811 八步里村
98.8933 31.1228 绒盖沟
105.2453 28.3128 小河村隐患点
105.15 28.9564 和尚山
99.6975 31.6775 马达村庄
102.3339 27.2958 小湾子
104.2208 28.8658 头黄岩崩塌
104.0175 30.3156 鱼剑滩
102.02 31.7192 阿罗伯村
101.6422 31.7861 斯玛都村
105.7661 31.1942 槐树中学凤凰山
105.7969 31.1739 老祠堂
103.6258 28.3208 莲花村一组
99.2997 31.0367 若当沟
99.1639 31.1228 翁休沟
99.9878 31.6303 桥梁
117.9892 35.5125 牛岚村、三连峪
118.0253 35.3744 白埠村、北刘庄村
117.5289 36.1622 下大炉村
117.5303 36.1561 陡沟庄村
104.4711 28.1114 双腾镇隐患点
